,price,buy_prob,sell_prob,signal
20269,20281.40631258,0.32742032,0.38266134,0
20270,20250.47687983,0.431867,0.3653392,2
20271,20363.10349368,0.3697842,0.50226015,2
20272,20306.97768003,0.41332358,0.40655205,2
20273,20378.20872366,0.42193946,0.4096157,2
20274,20337.40442011,0.43211755,0.39214876,2
20275,20494.84049273,0.3965875,0.46224558,2
20276,20545.35236415,0.4357409,0.37855121,2
20277,20516.82131883,0.38010114,0.40802,2
20278,20494.34457365,0.41318533,0.41358024,2
20279,20399.67994393,0.40990624,0.42617625,2
20280,20462.12791215,0.36395827,0.4386571,2
20281,20394.20803619,0.32955545,0.47577772,0
20282,20283.60762142,0.37710986,0.4847456,2
20283,20318.19887224,0.37126893,0.46155852,2
20284,20420.13960569,0.37714732,0.448953,2
20285,20503.38578398,0.40257454,0.45860192,2
20286,20538.66629697,0.3554327,0.50458056,2
20287,20485.02380256,0.41012615,0.43328413,2
20288,20489.05453176,0.3985462,0.44587156,2
20289,20408.75307103,0.40317616,0.40545285,2
20290,20520.86622627,0.482076,0.3721526,2
20291,20900.4692336,0.40873566,0.4580366,2
20292,20867.21437039,0.39315373,0.4866972,2
20293,21077.01133146,0.37363875,0.49496228,2
20294,20893.12470302,0.45024616,0.3980238,2
20295,21353.59129236,0.39190492,0.45943326,2
20296,21809.10835759,0.3600121,0.49747068,2
20297,21610.44222315,0.4528834,0.3759126,2
20298,21655.52203462,0.3596307,0.5018677,2
20299,21614.90935386,0.44526783,0.4106252,2
20300,21609.73780727,0.35591164,0.4751519,2
20301,21708.76504757,0.3829247,0.4889499,2
20302,22126.51894983,0.34908253,0.5262351,0
20303,21971.44791861,0.45032987,0.37258455,2
20304,22116.43794239,0.34639084,0.4965545,0
20305,21967.99329524,0.37809008,0.4977381,2
20306,21833.02080356,0.32970896,0.55122894,0
20307,21814.65322701,0.39399686,0.47781724,2
20308,21784.94642727,0.34772164,0.52671164,0
20309,21423.04487721,0.36428306,0.48298037,2
20310,21554.45504733,0.31543738,0.55086845,0
20311,21522.54695509,0.39851388,0.42882478,2
20312,21568.38424123,0.34329036,0.5036284,0
20313,21368.3039997,0.34357163,0.5242008,0
20314,21260.32084741,0.4745732,0.38241655,2
20315,21751.33698504,0.43004438,0.43076795,2
20316,21947.3620802,0.40762243,0.44859663,2
20317,21676.53645187,0.33797434,0.54059,0
20318,21753.94010515,0.3479438,0.5376347,0
20319,21721.41937154,0.4447518,0.39043304,2
20320,21797.7119167,0.48957568,0.32476714,2
20321,21842.60639935,0.40038547,0.47135824,2
20322,21691.26520686,0.50975513,0.33522537,2
20323,21763.39447324,0.38976124,0.48602715,2
20324,21584.09870414,0.36324775,0.50447804,2
20325,21532.31842154,0.39052647,0.485018,2
20326,21492.85062482,0.39089656,0.47242585,2
20327,21572.76150792,0.39329627,0.4727455,2
20328,21598.37703125,0.40579453,0.38992134,2
20329,21542.20731879,0.4034926,0.45766675,2
20330,21504.08384273,0.3825379,0.46672946,2
20331,21549.08874256,0.3902927,0.45575795,2
20332,21643.02871526,0.3694128,0.46545428,2
20333,21712.34730603,0.41648588,0.40452772,2
20334,21640.70998342,0.41644758,0.4045825,2
20335,21722.43727407,0.38863254,0.47404316,2
20336,21434.48481987,0.34158683,0.5085404,0
20337,21504.36338096,0.4710767,0.36102116,2
20338,21556.66928959,0.5580988,0.27378038,2
20339,21584.0640659,0.33845657,0.513044,0
20340,21534.75887232,0.39000338,0.41574824,2
20341,21680.75662218,0.44492978,0.38629985,2
20342,21868.71652065,0.3963231,0.47737408,2
20343,21738.22953353,0.38980123,0.4530783,2
20344,21610.90411305,0.34232897,0.52191186,0
20345,21668.53729396,0.39653593,0.44804344,2
20346,21696.21254043,0.3595526,0.49221116,2
20347,21614.89704937,0.3783129,0.47421783,2
20348,21581.01927849,0.35247993,0.44536787,2
20349,21348.73481053,0.37546778,0.48210546,2
20350,21401.0988028,0.4697909,0.35136732,2
20351,21300.42285733,0.36665842,0.49394265,2
20352,21282.17603202,0.44911227,0.37388238,2
20353,21261.52644966,0.3771599,0.46608892,2
20354,21346.0690317,0.39812562,0.47839716,2
20355,21283.92433349,0.41995618,0.4378361,2
20356,21328.1519048,0.42868808,0.40903723,2
20357,21311.82655019,0.38965347,0.48976895,2
20358,21313.67030157,0.35648617,0.5088299,2
20359,21264.28093098,0.4022193,0.4662439,2
20360,21288.96508758,0.40691718,0.41731957,2
20361,21294.44098704,0.48114848,0.31422058,2
20362,21064.80505803,0.33372843,0.5375424,0
20363,20853.33172484,0.38076246,0.47447652,2
20364,20883.91047098,0.4811713,0.36051917,2
20365,20923.05262272,0.3861408,0.47582358,2
20366,20896.8702468,0.3768986,0.42282385,2
20367,20832.50688135,0.4137491,0.44246253,2
20368,20907.61343351,0.3760686,0.4811334,2
20369,20979.26317233,0.4059605,0.46614254,2
