threshold,sharpe_ratio
0.3,-0.14671934752519356
0.31,-0.14671934752519356
0.32,-0.14671934752519356
0.33,-0.14671934752519356
0.34,-0.14671934752519356
0.35,-0.14671934752519356
0.36,-0.14671934752519356
0.37,-0.14671934752519356
0.38,-0.14671934752519356
0.39,-0.14671934752519356
0.4,-0.14671934752519356
0.41,-0.14671934752519356
0.42,-0.14671934752519356
0.43,-0.14671934752519356
0.44,-0.14671934752519356
0.45,-0.14671934752519356
0.46,-0.14671934752519356
0.47,-0.14671934752519356
0.48,-0.14671934752519356
0.49,-0.14671934752519356
0.5,-0.14671934752519356
