prob_sell,prob_hold,prob_buy,predicted_signal
0.30542475,0.41681328,0.277762,0
0.325235,0.36433846,0.31042656,0
0.36863428,0.24783207,0.3835336,0
0.3636732,0.26505676,0.37127003,0
0.41089103,0.15658274,0.43252617,0
0.3814087,0.23706855,0.38152283,0
0.3456205,0.33536452,0.31901497,0
0.43100747,0.15008612,0.41890642,0
0.3563679,0.32741937,0.31621265,0
0.3629602,0.30696893,0.33007085,0
0.3740742,0.24774098,0.37818488,0
0.3825273,0.24251632,0.3749564,0
0.3607466,0.29541346,0.34383997,0
0.39196867,0.21430959,0.39372176,0
0.3496828,0.3158904,0.33442676,0
0.32594478,0.36767784,0.30637735,0
0.34507686,0.3237372,0.33118594,0
0.34842348,0.31742555,0.33415097,0
0.33066896,0.3519282,0.3174028,0
0.36142945,0.27619886,0.36237168,0
0.32974735,0.35335827,0.3168944,0
0.33557448,0.3344971,0.32992843,0
0.3463561,0.31382474,0.3398192,0
0.3881825,0.2643555,0.347462,0
0.3344677,0.34963325,0.315899,0
0.34300464,0.32541353,0.33158183,0
0.33287317,0.35488418,0.3122427,0
0.3519661,0.31094697,0.33708695,0
0.34879237,0.3242236,0.32698405,0
0.34763283,0.32208878,0.3302784,0
0.37356788,0.26772374,0.35870835,0
0.3743376,0.26902157,0.35664088,0
0.3582901,0.30651727,0.33519265,0
0.37605187,0.26908493,0.3548632,0
0.39483562,0.22493955,0.3802248,0
0.38482842,0.22203799,0.3931336,0
0.36517552,0.29597905,0.33884543,0
0.38110045,0.2647685,0.35413098,0
0.37780064,0.24231355,0.37988576,0
0.42524776,0.15522745,0.4195248,0
0.40577123,0.18405111,0.4101777,0
0.31759104,0.37434337,0.30806556,0
0.38391054,0.22108151,0.395008,0
0.38158676,0.24154265,0.3768706,0
0.39386567,0.18169655,0.4244378,0
0.3256811,0.3545014,0.31981742,0
0.39714718,0.16871612,0.43413675,0
0.31408685,0.3637779,0.32213524,0
0.38326,0.2488784,0.36786163,0
0.35319296,0.31451836,0.33228874,0
0.31984794,0.3811008,0.29905125,0
0.29320365,0.42197746,0.28481886,0
0.32496375,0.3448929,0.33014342,0
0.38767007,0.26001438,0.35231557,0
0.36840364,0.26675305,0.3648433,0
0.3691497,0.2685395,0.3623108,0
0.40454784,0.16326119,0.432191,0
0.3816033,0.24745679,0.37093997,0
0.42569155,0.15610857,0.4181999,0
0.3890172,0.27719316,0.3337897,0
0.3830411,0.20775878,0.4092001,0
0.4186648,0.12579754,0.4555376,0
0.3477785,0.32770106,0.3245204,0
0.4398957,0.082281604,0.47782266,0
0.3352169,0.34641013,0.31837294,0
0.4790677,0.05334575,0.46758652,0
0.37371132,0.26113033,0.36515838,0
0.3887504,0.18706986,0.42417976,0
0.329205,0.3467179,0.32407704,0
0.37246424,0.26894963,0.3585862,0
0.3597808,0.3066093,0.33360988,0
0.35997295,0.29729795,0.34272906,0
0.33706495,0.3367616,0.32617354,0
0.334056,0.3518722,0.3140718,0
0.37991142,0.23635,0.3837386,0
0.31502688,0.37550223,0.30947092,0
0.35456878,0.3072624,0.3381689,0
0.31796166,0.36659807,0.31544027,0
0.33176032,0.35186398,0.31637573,0
0.3445769,0.31493264,0.3404905,0
0.37713426,0.27011943,0.35274625,0
0.34680286,0.32455227,0.32864487,0
0.3390758,0.34210315,0.31882104,0
0.34419775,0.33422175,0.3215805,0
0.3619451,0.29359308,0.34446183,0
0.4161515,0.1663671,0.41748142,0
0.37954473,0.26602834,0.35442686,0
0.37777013,0.27060205,0.35162783,0
0.3770378,0.24379689,0.37916532,0
0.33075893,0.34908968,0.3201514,0
0.31841207,0.38156384,0.30002403,0
0.30617693,0.39815396,0.29566914,0
0.31555393,0.38712093,0.29732513,0
